NUSP,P1,P2,Sub,M1
13683358,4.2,2.5,,3.2
13683362,5.0,0.8,3.3,4.0
13683383,4.2,4.2,,4.2
13683390,4.2,10.0,,7.7
13683410,3.3,4.2,,3.8
13683445,5.8,4.2,,5.0
13683452,0.8,3.3,3.3,3.3
13683470,1.7,3.3,2.5,3.0
13683487,1.7,0.0,9.2,6.2
13683511,1.7,5.8,5.0,5.5
13683528,5.8,2.5,1.7,3.3
13683549,3.3,2.5,2.5,2.8
13683560,6.7,3.3,5.0,5.7
13683581,5.0,2.5,5.0,5.0
13683622,5.0,3.3,,4.0
13683640,2.5,0.8,,1.5
13683661,5.8,5.0,,5.3
13683699,3.3,1.7,3.3,3.3
13683702,0.0,0.0,3.3,2.0
13683723,5.0,1.7,4.2,4.5
13683772,3.3,10.0,,7.3
13683786,5.8,5.0,,5.3
13683790,1.7,4.2,1.7,3.2
13683810,3.3,9.2,,6.8
13683848,4.2,2.5,2.5,3.2
13683873,3.3,2.5,0.8,1.8
13683880,2.5,2.5,9.2,6.5
13683894,4.2,2.5,2.5,3.2
13683900,6.7,3.3,6.7,6.7
13683914,2.5,2.5,10.0,7.0
13683935,4.2,2.5,,3.2
13683956,3.3,5.0,5.0,5.0
13683998,,2.5,5.0,3.5
13684022,4.2,5.8,,5.2
13684039,4.2,1.7,2.5,3.2
13684050,,,,0.0
13684064,4.2,10.0,,7.7
13684130,5.0,0.8,6.7,6.0
13684168,3.3,5.0,6.7,5.7
13684189,5.8,3.3,1.7,3.3
13684234,4.2,0.8,9.2,7.2
13684241,6.7,1.7,,3.7
13684276,1.7,,,0.7
13684280,7.5,2.5,9.2,8.5
13684321,4.2,3.3,10.0,7.7
13684370,2.5,1.7,2.5,2.5
13684384,2.5,4.2,,3.5
13684404,6.7,,3.3,4.7
13684425,4.2,0.8,1.7,2.7
13684450,3.3,1.7,3.3,3.3
13684467,5.0,1.7,2.5,3.5
13684471,3.3,1.7,3.3,3.3
13684488,3.3,1.7,0.8,1.8
13684492,5.0,8.3,,7.0
13684533,3.3,3.3,8.3,6.3
13684540,3.3,0.0,9.2,6.8
13684561,5.8,4.2,,5.0
13684596,5.8,1.7,7.5,6.8
13684602,5.8,0.8,10.0,8.3
13684616,2.5,5.8,8.3,6.8
13684620,0.8,5.8,10.0,7.5
13684641,5.8,3.3,10.0,8.3
13684662,5.0,3.3,0.8,2.5
13684703,4.2,1.7,2.5,3.2
13684710,1.7,1.7,2.5,2.2
13684770,2.5,2.5,3.3,3.0
13684787,1.7,5.0,5.0,5.0
13684791,4.2,2.5,1.7,2.7
13684811,3.3,1.7,2.5,2.8
13684901,3.3,4.2,7.5,5.8
13684957,0.8,7.5,,5.0
13684978,3.3,2.5,4.2,3.8
13685002,2.5,0.8,5.0,4.0
13685339,3.3,6.7,,5.3
13685513,10.0,4.2,,6.5
13685621,5.8,6.7,,6.3
13695595,5.8,6.7,,6.3
13695615,5.0,1.7,5.0,5.0
13695622,7.5,4.2,,5.5
13695640,5.8,3.3,7.5,6.8
13695661,6.7,4.2,,5.2
13695678,6.7,7.5,,7.2
13695699,6.7,3.3,2.5,4.2
13695702,6.7,5.0,,5.7
13695719,5.8,0.8,5.0,5.3
13695723,5.8,6.7,,6.3
13695730,2.5,7.5,,5.5
13695744,5.8,5.0,,5.3
13695751,4.2,6.7,,5.7
13695765,8.3,3.3,,5.3
13695772,5.8,5.0,,5.3
